Station,Salinity,WaterLevel,Species,Cover,Latitude,Longitude
CRMS0287,1.375757576,0.276674242,Patens,0.005,29.68654,-90.01048
CRMS0293,11.46537063,-0.281941298,Patens,0.77,29.24379,-91.19802
CRMS0303,10.65139963,-0.442498389,Patens,0.018,29.24379,-91.07301
CRMS0305,1.764930939,-0.563694061,Patens,0.235,29.38895,-91.19802
CRMS0307,9.043847571,0.069555837,Patens,0.275,29.25105,-90.82301
CRMS0309,10.26774862,-0.27563605,Patens,0.46,29.25105,-91.19802
CRMS0310,17.22144573,0.259309078,Patens,0.02,29.29463,-90.29328
CRMS0311,14.82692077,-0.006479733,Patens,0.085,29.21476,-90.79176
CRMS0312,5.171388122,0.021793048,Patens,0.263,29.50508,-90.3855
CRMS0315,8.602428637,-0.123063766,Patens,0.4,29.40347,-90.573
CRMS0322,11.94276243,-0.16025023,Patens,0.141,29.24379,-91.10454
CRMS0326,7.256533149,-0.197732505,Patens,0.515,29.27282,-91.07301
CRMS0332,6.605736648,-0.37902279,Patens,0.083,29.30185,-91.04176
CRMS0354,3.639686924,-0.005181169,Patens,0.445,29.33088,-91.01051
CRMS0369,5.684804328,-0.147786602,Patens,0.45,29.2946,-90.69801
CRMS0385,3.083124279,0.19974291,Patens,0.13,29.41073,-90.60425
CRMS0386,10.95239641,0.177235497,Patens,0.17,29.4325,-90.35425
CRMS0387,11.81611648,0.164721685,Patens,0.343,29.41073,-90.323
CRMS0390,6.851813996,0.17644337,Patens,0.227,29.46879,-90.66676
CRMS0392,7.00700046,0.382580571,Patens,0.05,29.45428,-90.66676
CRMS0394,6.373054788,0.258858425,Patens,0.2,29.35992,-90.85426
CRMS0395,4.963119245,0.020439457,Patens,0.107,29.35992,-90.88551
CRMS0396,8.808703959,0.172962477,Patens,0.37,29.3454,-90.88551
CRMS0397,14.24203564,0.167861697,Patens,0.073,29.35266,-90.26049
CRMS0398,1.204581031,-0.093275783,Patens,0.335,29.38895,-90.91676
CRMS0399,4.932313536,-0.198279236,Patens,0.53,29.30185,-91.10426
CRMS0400,4.957417127,0.314662983,Patens,0.02425,29.49057,-90.5105
CRMS0416,7.637616099,0.19316242,Patens,0.343,29.47605,-90.47925
CRMS0464,0.593383978,0.071336096,Patens,0.01,29.5196,-91.38552
CRMS0494,0.496747293,0.314061737,Patens,0.08,29.7446,-91.79178
CRMS0496,0.348589804,-0.251996258,Patens,0.045,29.6319,-91.544
CRMS0498,4.347640424,0.298202348,Patens,0.61,29.49783,-91.85429
CRMS0499,4.465711326,0.069901703,Patens,0.6,29.57041,-91.85429
CRMS0501,2.246481695,0.328128713,Patens,0.43,29.63573,-92.26054
CRMS0504,3.525478821,0.612666897,Patens,0.815,29.53412,-91.88554
CRMS0507,2.413878913,0.31167058,Patens,0.125,29.58492,-92.22929
CRMS0508,2.787087267,0.345408934,Patens,0.432,29.64299,-92.22929
CRMS0514,1.066172669,-1.115906279,Patens,0.153,29.85347,-91.82304
CRMS0520,3.686224678,-0.367820672,Patens,0.53,29.58492,-91.88554
CRMS0523,3.883933441,-0.541635544,Patens,0.595,29.57767,-91.82304
CRMS0527,1.88015873,-0.282798786,Patens,0.103,29.70831,-91.85429
CRMS0529,4.889532689,0.38586349,Patens,0.415,29.59944,-91.91679
CRMS0531,1.492742475,-0.400994267,Patens,0.275,29.85347,-91.94804
CRMS0532,1.805802953,-0.821511075,Patens,0.01,29.82444,-91.94804
CRMS0535,4.047153326,-0.310973788,Patens,0.41,29.64299,-92.16679
CRMS0536,1.944468822,0.707608776,Patens,0.24,29.58492,-92.26054
CRMS0541,6.410025428,-0.900108877,Patens,0.11,29.61621,-92.04112
CRMS0542,0.165080571,0.26945442,Patens,0.016,29.80266,-91.63553
CRMS0543,0.350580091,-0.711624254,Patens,0.003,29.75186,-91.63553
CRMS0544,0.328860701,-0.260249308,Patens,0.076,29.68654,-91.57303
CRMS0549,1.066558471,-0.714984346,Patens,0.215,29.8317,-91.85429
CRMS0551,0.374624378,-0.292566418,Patens,0.088,29.70105,-91.54178
CRMS0552,0.568517321,0.179923095,Patens,0.04,29.79541,-92.13554
CRMS0553,1.220964771,0.878091181,Patens,0.279,29.84623,-93.01057
CRMS0562,0.520368324,0.802019567,Patens,0.02,29.76639,-92.76056
CRMS0568,0.461701082,0.667121436,Patens,0.074,29.78815,-92.4168
CRMS0571,1.800126611,0.478998389,Patens,0.19,29.70831,-92.29179
CRMS0572,0.276514733,0.811016575,Patens,0.014,29.78815,-92.29179
CRMS0574,0.276617545,0.801131476,Patens,0.06,29.79542,-92.63555
CRMS0576,2.531,0.425747465,Patens,0.13,29.59219,-92.4793
CRMS0580,2.221491713,0.109099908,Patens,0.55,29.6067,-92.32305
CRMS0581,12.77148094,0.300445259,Patens,0.003,29.66477,-92.72931
CRMS0583,0.663280387,0.331854972,Patens,0.335,29.83896,-92.91681
CRMS0584,1.347089552,0.490493367,Patens,0.62,29.79542,-92.85431
CRMS0587,0.773599724,0.295628512,Patens,0.565,29.79542,-92.91681
CRMS0588,3.576461786,0.565643877,Patens,0.845,29.77364,-92.82306
CRMS0595,0.515165822,0.726052971,Patens,0.024,29.85348,-92.63555
CRMS0599,13.09287293,0.211490101,Patens,0.415,29.6067,-92.66681
CRMS0600,8.696632771,-0.573972729,Patens,0.3,29.57767,-92.54181
CRMS0603,1.33681096,0.726656689,Patens,0.132,29.80268,-92.76056
CRMS0604,0.909293278,0.995186464,Patens,0.038,29.75912,-92.76056
CRMS0605,0.523748561,0.583955561,Patens,0.322,29.86074,-92.91682
CRMS0608,1.451568682,0.475943996,Patens,0.16,29.67203,-92.6668
CRMS0609,8.627809832,0.198825294,Patens,0.595,29.63574,-92.6043
CRMS0615,5.911290323,0.073847926,Patens,0.062,29.67929,-92.82306
CRMS0616,2.445445545,0.430900736,Patens,0.434,29.73009,-92.26054
CRMS0618,2.368439306,0.092776647,Patens,0.5,29.73735,-92.26054
CRMS0619,1.588139963,0.573179788,Patens,0.22,29.68654,-92.26054
CRMS0623,2.179433702,0.196520488,Patens,0.52,29.63573,-92.51055
CRMS0624,0.613139963,0.578711786,Patens,0.124,29.86074,-92.88556
CRMS0626,0.883436924,0.492275783,Patens,0.24,29.6938,-92.6043
CRMS0630,2.187289892,0.156634815,Patens,0.535,29.78626,-92.79182
CRMS0632,2.848445437,0.467215663,Patens,0.48,29.57041,-92.38555
CRMS0633,3.343133057,0.16947767,Patens,0.335,29.56315,-92.32304
CRMS0635,2.711360564,0.216437261,Patens,0.152,29.91881,-93.47932
CRMS0638,5.961950714,0.281049516,Patens,0.535,29.868,-93.51057
CRMS0641,5.359910221,0.153768877,Patens,0.527,29.89703,-93.51057
CRMS0644,10.71710799,0.413634354,Patens,0.255,29.83171,-93.29182
CRMS0645,6.160421271,0.334543969,Patens,0.652,29.84623,-93.19807
CRMS0647,1.449378167,0.252110778,Patens,0.59,29.84623,-93.47932
CRMS0648,3.94633579,0.375301013,Patens,0.6,29.83897,-93.16682
CRMS0650,0.254436506,0.506786126,Patens,0.178,29.91881,-93.13557
CRMS0651,2.452815013,-0.127962466,Patens,0.322,29.96236,-93.51057
CRMS0655,12.70229104,0.351820401,Patens,0.273,29.79542,-93.41682
CRMS0658,2.495204746,0.255654723,Patens,0.775,30.05671,-93.60432
CRMS0660,2.283927666,-0.199247408,Patens,0.438,29.91881,-93.66682
CRMS0661,2.177233356,0.435667588,Patens,0.62,29.84623,-93.63557
CRMS0662,1.918844383,0.03339733,Patens,0.38,30.03494,-93.69808
CRMS0663,2.253447083,0.232226193,Patens,0.685,30.01316,-93.69808
CRMS0665,2.223618552,0.535012897,Patens,0.485,29.96236,-93.69807
CRMS0669,3.325895488,0.188211786,Patens,0.345,29.88251,-93.72932
CRMS0672,14.29082201,0.293718628,Patens,0.215,29.83171,-93.41682
CRMS0677,3.921231584,0.250335405,Patens,0.49,29.85349,-93.54182
CRMS0682,2.016136364,0.154959509,Patens,0.405,29.82445,-93.57307
CRMS0683,2.188056079,0.05776508,Patens,0.488,29.88977,-93.66682
CRMS0684,4.268337204,0.192798189,Patens,0.735,29.81719,-93.82308
CRMS0685,9.849198895,-0.010253683,Patens,0.505,29.88977,-93.38557
CRMS0687,8.882967311,0.025040516,Patens,0.025,29.94058,-93.35432
CRMS0693,1.912955801,0.362134669,Patens,0.372,29.89703,-93.63557
CRMS0694,2.532249079,0.296106123,Patens,0.032,29.88251,-93.54182
CRMS0697,1.914483078,0.012939268,Patens,0.64,30.06418,-93.66698
CRMS0978,16.36160912,0.297549724,Patens,0.055,29.32365,-90.29251
CRMS1100,0.532451657,0.387472376,Patens,0.35,29.65751,-92.44805
CRMS1130,0.713146869,0.839452118,Patens,0.07,29.70106,-92.38555
CRMS1205,2.614404707,0.1480976,Patens,0.42,29.87526,-93.57307
CRMS1409,0.898146429,0.572705852,Patens,0.027,29.868,-93.01057
CRMS1738,7.84266559,0.24034018,Patens,0.575,29.85349,-93.22932
CRMS1743,4.556067416,-0.082841413,Patens,0.645,29.88978,-93.22932
CRMS1838,2.006424954,0.596404926,Patens,0.185,29.7809,-93.69807
CRMS1858,2.109347174,0.244094348,Patens,0.255,29.83897,-93.51057
CRMS1965,2.046459484,-0.01553384,Patens,0.661,29.63573,-92.4793
CRMS2041,1.492255569,-0.478705979,Patens,0.053,29.76638,-92.16679
CRMS2154,2.731761724,0.075634559,Patens,0.702,29.84623,-93.69807
CRMS2156,2.50032466,0.062672346,Patens,0.72,29.87526,-93.69807
CRMS2189,3.320116063,0.042687326,Patens,0.795,29.92606,-93.76058
CRMS2219,1.612661142,-0.287656998,Patens,0.595,29.76639,-93.60432
CRMS2334,5.87764909,0.347776422,Patens,0.525,29.88252,-93.51057
CRMS2418,1.108463415,0.276782927,Patens,0.545,29.87526,-93.16682
CRMS2493,1.717566759,0.35801174,Patens,0.257,29.82445,-92.88556
CRMS2614,0.298328729,0.239684622,Patens,0.062,29.33814,-89.32296
CRMS2825,5.109019337,-0.070182551,Patens,0.73,29.49783,-90.448
CRMS2830,0.70125,-0.302938996,Patens,0.7,30.03624,-90.34074
CRMS2854,1.078774476,-0.043906473,Patens,0.705,30.30348,-89.97923
CRMS3296,13.28102952,-0.09788607,Patens,0.007,29.38896,-90.47925
CRMS3565,4.288455341,0.199123849,Patens,0.61,29.49783,-90.10424
CRMS3601,6.035672192,0.163448895,Patens,0.02,29.57767,-89.94798
CRMS3617,7.194030847,0.071098987,Patens,0.33,29.54863,-89.91673
CRMS3626,2.068600368,0.061785451,Patens,0.82,30.10751,-89.85423
CRMS3639,2.199479622,-0.345846189,Patens,0.625,29.90427,-89.85423
CRMS3641,2.84372698,-0.215923573,Patens,0.62,29.91879,-89.85423
CRMS3650,2.043759797,-0.340370447,Patens,0.77,30.0567,-89.82298
CRMS3664,2.905627895,0.065573855,Patens,0.86,29.91153,-89.82298
CRMS3667,1.625167509,0.258371311,Patens,0.36,30.25993,-89.88548
CRMS3680,11.53309976,-0.167746472,Patens,0.215,29.51235,-89.79173
CRMS3784,3.481330571,0.076447284,Patens,0.705,30.15832,-89.66672
CRMS3800,3.960983919,0.09958054,Patens,0.68,29.83896,-89.66672
CRMS4014,0.185428177,-0.308258287,Patens,0.012,29.54863,-91.32302
CRMS4094,0.355777113,-0.196314069,Patens,0.002,30.38572,-90.14679
CRMS4103,2.201980198,0.000371633,Patens,0.093,29.6575,-90.04173
CRMS4107,1.751871547,-0.663741943,Patens,0.577,30.0567,-89.85423
CRMS4110,0.164921073,-0.872433702,Patens,0.2,30.20187,-89.66672
CRMS4218,1.738140692,0.037188299,Patens,0.755,29.56315,-90.16674
CRMS4245,1.97052256,0.319917818,Patens,0.365,29.67202,-90.13549
CRMS4355,1.306381215,0.048172882,Patens,0.244,29.83896,-89.82298
CRMS4406,2.556995856,0.177385129,Patens,0.865,30.20187,-89.72922
CRMS4407,0.740258503,0.109659524,Patens,0.26,30.22363,-89.72922
CRMS4529,10.0062377,-0.149432893,Patens,0.045,29.46879,-89.82298
CRMS4557,11.69466516,0.061560321,Patens,0.198,29.82444,-89.57297
CRMS4572,5.820923112,-0.221387201,Patens,0.005,30.0567,-89.47921
CRMS4626,1.372860289,0.05803768,Patens,0.16,29.33814,-89.19796
CRMS4690,4.892638122,0.158732735,Patens,0.37,29.49783,-90.04174
CRMS6299,0.941303385,0.449618159,Patens,0.225,30.05059,-90.35142
CRMS6301,6.443833291,0.046179123,Patens,0.033,29.96036,-93.40959
CRMS6303,2.428656276,-0.464170177,Patens,0.123,29.47261,-90.19157
